,Unnamed: 0,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,Unnamed: 12,Unnamed: 13,latitude_res,longitude_res,date,sign,shelter,trash,seating
396,1455,902816,HAMMOND DR NE @ CONCOURSE PKWY,Shelter,33.9189,-84.354671,1.0,1.0,1.0,1.0,2,2024.0,0,0,33.918900000000065,-84.35467099999994,2024-07,0.0,0.913,0.854,0.84
397,1457,902820,NORTH POINT PKWY @ NORTH POINT CT,Sign on Post,34.047736,-84.288493,0.0,1.0,0.0,0.0,2,2021.0,0,0,34.04773600000004,-84.28849299999996,2023-09,0.0,0.89,0.734,0.721
422,1484,902999,HAMMOND DR NE @ PEACHTREE DUNWOODY RD,Shelter,33.918901,-84.349888,1.0,1.0,1.0,1.0,2,2024.0,0,0,33.91890100000006,-84.34988799999996,2024-07,0.0,0.908,0.856,0.858
423,1485,903004,ASHFORD DUNWOODY RD @ ASHFORD CTR N,Shelter,33.941633,-84.338323,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.941633000000024,-84.33832299999995,2024-12,0.0,0.895,0.496,0.724
424,1486,903005,ASHFORD DUNWOODY RD@ASHFORD GABLES,Shelter,33.936667,-84.338028,1.0,1.0,1.0,1.0,1,2022.0,0,0,33.93666700000006,-84.33802799999995,2022-09,0.0,0.751,0.0,0.0
425,1487,903006,ASHFORD DUNWOODY RD@ASHWOOD PKWY,Shelter,33.933861,-84.33788,1.0,1.0,1.0,1.0,2,2021.0,0,0,33.93386100000004,-84.33787999999998,2022-03,0.0,0.923,0.0,0.57
485,1552,903580,DEKALB INDUSTRIAL WAY @ MILSCOTT DR,Sign on Post,33.79623,-84.27808,0.0,1.0,0.0,0.0,3,2024.0,0,0,33.79623000000004,-84.27807999999999,2021-02,0.0,0.802,0.0,0.667
487,1554,903584,N DECATUR RD @ 3711,Sign on Post,33.785746,-84.243188,0.0,1.0,0.0,0.0,2,2024.0,0,0,33.785746000000074,-84.24318799999998,0,0.0,0.0,0.0,0.0
495,1562,903612,DEKALB INDUSTRIAL WAY @ N DECATUR RD,Shelter,33.794455,-84.276614,1.0,1.0,1.0,1.0,2,2024.0,Captured by individual,0,33.79445500000003,-84.27661399999994,2024-06,0.0,0.903,0.832,0.877
496,1563,903614,N DECATUR RD @ CLAIRMONT CIR,Sign on Post,33.79097,-84.30139,0.0,1.0,0.0,0.0,3,2024.0,Captured by individual,0,33.79097000000007,-84.30138999999997,2022-08,0.0,0.0,0.0,0.495
499,1566,903622,N DECATUR RD @ WENDAN DR,Sign on Post,33.79268,-84.29674,0.0,1.0,0.0,0.0,1,2024.0,Captured by individual,0,33.792680000000075,-84.29673999999994,2022-08,0.0,0.0,0.738,0.0
503,1570,903658,N DECATUR RD @ PARKDALE DR,Shelter,33.791259,-84.256288,1.0,1.0,1.0,1.0,2,2012.0,0,0,33.791259000000025,-84.25628799999998,2022-03,0.0,0.906,0.863,0.853
515,1583,903821,N INDIAN CREEK DR @ MILLIGAN DR,Shelter,33.790079,-84.236037,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.79007900000005,-84.23603699999995,2024-07,0.0,0.808,0.352,0.328
518,1586,903827,E PONCE DE LEON AVE @ LAREDO DR,Shelter,33.785229,-84.268987,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.78522900000007,-84.26898699999998,2024-11,0.0,0.908,0.87,0.75
521,1589,903833,MEMORIAL DR @ MOUNTAIN VIEW DR,Bench,33.806207,-84.187109,0.0,1.0,1.0,0.0,3,2023.0,0,0,33.80620700000003,-84.18710899999996,2025-12,0.0,0.0,0.0,0.419
528,1596,903907,N DECATUR RD @ 3799,Shelter,33.785608,-84.238729,1.0,1.0,1.0,1.0,1,2024.0,0,0,33.785608000000025,-84.23872899999998,0,0.0,0.0,0.0,0.0
541,1610,904007,N INDIAN CREEK DR @ INDIAN CREEK LN,Shelter,33.793877,-84.236251,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.793877000000066,-84.23625099999998,2024-07,0.0,0.921,0.853,0.885
552,1621,904102,W MOUNTAIN ST @ SEXTON DR,Shelter,33.806518,-84.178068,1.0,1.0,1.0,1.0,3,2022.0,0,0,33.80651800000004,-84.17806799999994,2022-02,0.0,0.887,0.804,0.771
555,1624,904160,DEKALB INDUSTRIAL WAY @ STRATFORD CMNS,Bench,33.791833,-84.276029,0.0,1.0,1.0,0.0,1,2024.0,0,0,33.791833000000054,-84.27602899999994,2024-07,0.0,0.864,0.468,0.7
557,1626,904180,N DECATUR RD @ N INDIAN CREEK DR,Shelter,33.785697,-84.237946,1.0,1.0,1.0,1.0,2,2024.0,0,0,33.78569700000003,-84.23794599999997,2024-07,0.0,0.726,0.0,0.0
558,1627,904186,N DECATUR RD @ 3770,Bench,33.785858,-84.241158,0.0,1.0,1.0,1.0,1,2021.0,0,0,33.78585800000008,-84.24115799999998,2021-12,0.0,0.0,0.0,0.913
559,1628,904190,MEMORIAL DR @ ROCKBRIDGE RD,Shelter,33.786204,-84.234411,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.786204000000055,-84.23441099999997,2025-10,0.0,0.909,0.0,0.789
560,1629,904191,MEMORIAL DR @ ROCKBRIDGE RD,Sign Strapped to Pole,33.785122,-84.234782,0.0,1.0,0.0,0.0,3,2022.0,0,0,33.78512200000006,-84.23478199999994,2022-01,0.0,0.0,0.399,0.842
581,1650,904272,N HIGHLAND AVE NE @ BLUE RIDGE AVE,Sign on Post,33.772171,-84.352325,0.0,1.0,0.0,0.0,2,2025.0,0,0,33.77217100000007,-84.35232499999995,2024-07,0.0,0.778,0.0,0.0
585,1654,904278,COMMERCE DR @ W HOWARD AVE,Sign on Post,33.76919,-84.29957,0.0,1.0,0.0,0.0,3,2024.0,0,0,33.76919000000004,-84.29956999999996,0,0.0,0.0,0.0,0.0
630,1702,904412,PONCE DE LEON AVE NE @ DURANT PL NE,Sign on Post,33.772436,-84.376255,0.0,1.0,0.0,0.0,3,2025.0,0,0,33.77243600000003,-84.37625499999996,2025-12,0.0,0.693,0.288,0.542
648,1721,904481,N HIGHLAND AVE N@SAINT CHARLES AVE,Sign Strapped to Pole,33.775618,-84.352642,0.0,1.0,0.0,0.0,2,2024.0,0,0,33.775618000000065,-84.35264199999995,2024-07,0.0,0.0,0.0,0.533
663,1736,904528,PONCE DE LEON AVE NE @ BONAVENTURE AVE,Sign on Post,33.77396,-84.360657,0.0,1.0,0.0,0.0,2,2025.0,0,0,33.773960000000045,-84.36065699999995,2025-04,0.0,0.709,0.0,0.0
667,1740,904532,PONCE DE LEON AVE @ N HIGHLAND AVE NE,Shelter,33.773849,-84.352322,1.0,1.0,1.0,1.0,2,2021.0,Mosaic,0,33.77384900000004,-84.35232199999996,2021-12,0.0,0.923,0.876,0.894
670,1743,904539,MARIETTA ST NW @ NORTHSIDE DR NW,Shelter,33.775792,-84.406901,1.0,1.0,1.0,1.0,3,2025.0,0,0,33.775792000000024,-84.40690099999995,2025-01,0.0,0.0,0.0,0.631
674,1747,904544,N HIGHLAND AVE NE @ DREWRY ST NE,Sign on Post,33.777931,-84.352519,0.0,1.0,0.0,0.0,1,2025.0,Inside building,occlusions,33.777931000000024,-84.35251899999997,0,0.0,0.0,0.0,0.0
678,1751,904554,NORTH AVE @ CHERRY ST,Sign Strapped to Pole,33.771342,-84.395446,0.0,1.0,0.0,0.0,1,2023.0,0,0,33.77134200000006,-84.39544599999994,0,0.0,0.0,0.0,0.0
695,1769,904634,MONROE DR NE @ SAINT CHARLES AVE NE,Sign on Post,33.775192,-84.370598,0.0,1.0,0.0,0.0,3,2025.0,Perpendicular,0,33.77519200000006,-84.37059799999997,0,0.0,0.0,0.0,0.0
706,1781,904668,10TH ST NW @ HEMPHILL AVE NW,Shelter,33.781478,-84.403496,1.0,1.0,1.0,1.0,3,2025.0,0,0,33.78147800000005,-84.40349599999996,2025-01,0.0,0.891,0.0,0.827
721,1797,904716,10TH ST@BRADY AVE,Sign on Post,33.781625,-84.413197,0.0,1.0,0.0,0.0,3,2024.0,Small chair,0,33.78162500000008,-84.41319699999997,2025-01,0.0,0.0,0.0,0.776
726,1802,904738,S MCDONOUGH ST@BENSON ST,Sign on Post,33.760578,-84.296288,0.0,1.0,0.0,0.0,1,2023.0,Mosaic,0,33.760578000000066,-84.29628799999995,0,0.0,0.0,0.0,0.0
728,1804,904740,S MCDONOUGH ST@DAVIS ST,Sign on Post,33.762993,-84.296219,0.0,1.0,0.0,0.0,1,2023.0,0,0,33.76299300000005,-84.29621899999995,2023-01,0.0,0.0,0.0,0.536
730,1806,904742,COMMERCE DR @ BEAUMONT AVE,Sign on Post,33.777492,-84.29869,0.0,1.0,0.0,0.0,3,2024.0,0,0,33.77749200000005,-84.29868999999997,2024-07,0.0,0.0,0.0,0.775
743,1821,904766,DONALD L HOLLOWELL PKWY @ LINDSAY ST,Shelter,33.77301,-84.416565,1.0,1.0,1.0,1.0,1,2025.0,0,0,33.773010000000056,-84.41656499999993,2025-01,0.0,0.821,0.0,0.0
746,1824,904770,VIRGINIA AVE NE@GREENCOVE AVE NE,Sign on Post,33.781929,-84.360307,0.0,1.0,0.0,0.0,1,2022.0,occlusions,0,33.78192900000005,-84.36030699999998,0,0.0,0.0,0.0,0.0
752,1830,904786,10TH ST NW @ NORTHSIDE DR NW,Shelter,33.781501,-84.407777,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.78150100000005,-84.40777699999995,2025-01,0.0,0.906,0.0,0.465
761,1839,904820,N ARCADIA AVE @ E PONCE DE LEON AVE,Sign on Post,33.777575,-84.28062,0.0,1.0,0.0,0.0,1,2022.0,0,0,33.77757500000007,-84.28061999999994,2022-01,0.0,0.0,0.0,0.642
762,1840,904824,W TRINITY PL @ COMMERCE DR,Shelter,33.773634,-84.297897,1.0,1.0,1.0,1.0,2,2024.0,0,0,33.77363400000007,-84.29789699999998,2024-07,0.0,0.92,0.873,0.834
780,1858,904857,CHURCH ST @ LUCERNE ST,Sign on Post,33.78431,-84.29394,0.0,1.0,0.0,0.0,1,2022.0,0,0,33.78431000000006,-84.29393999999996,2022-08,0.0,0.0,0.0,0.74
783,1861,904860,COMMERCE DR @ CLAIREMONT AVE,Sign on Post,33.777996,-84.297453,0.0,1.0,0.0,0.0,3,2024.0,0,0,33.77799600000003,-84.29745299999996,2024-07,0.0,0.0,0.773,0.404
788,1866,904882,MONROE DR NE @ 8TH ST NE,Shelter,33.779959,-84.369371,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.77995900000008,-84.36937099999994,2024-11,0.0,0.914,0.835,0.889
906,93,101133,MARTIN L KING JR DR NW @ PASCHAL BLVD SW,Shelter,33.754779,-84.414293,1.0,1.0,1.0,1.0,3,2025.0,0,0,33.75477900000004,-84.41429299999999,2025-01,0.0,0.921,0.857,0.878
916,105,101460,MCDANIEL ST SW @ WHITEHALL ST SW,Shelter,33.743458,-84.40377,1.0,1.0,1.0,1.0,1,2025.0,0,0,33.74345800000003,-84.40376999999995,2025-11,0.0,0.915,0.0,0.753
919,109,102005,MEMORIAL DR SE @ CAPITOL AVE,Sign Strapped to Pole,33.746845,-84.386727,1.0,1.0,1.0,1.0,2,2025.0,Sign is not visible Clearly,0,33.746845000000064,-84.38672699999995,2025-11,0.0,0.907,0.813,0.824
929,119,102054,CENTRAL AVE SW @ ALICE ST SW,Shelter,33.742935,-84.393322,1.0,1.0,1.0,1.0,3,2025.0,0,0,33.742935000000045,-84.39332199999996,2025-03,0.0,0.911,0.851,0.842
