,Unnamed: 0,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,Unnamed: 12,Unnamed: 13,latitude_res,longitude_res,date,sign,shelter,trash,seating
1652,892,211645,PEACHTREE ST @ WALL ST (FIVE POINTS STATION),Sign on Post,33.75357,-84.390377,0.0,1.0,0.0,0.0,2,2025.0,Broken,0,33.753570000000025,-84.39037699999994,2025-03,0.0,0.805,0.0,0.0
1669,909,211878,MORELAND AVE NE @ 326,Sign on Post,33.76344,-84.349285,0.0,1.0,0.0,0.0,2,2025.0,0,0,33.76344000000006,-84.34928499999995,2025-05,0.0,0.0,0.0,0.578
1710,952,212609,MT VERNON HWY NE @ GLENRIDGE DR NE,Sign on Post,33.926691,-84.367008,0.0,1.0,0.0,0.0,2,2024.0,0,0,33.92669100000006,-84.36700799999994,0,0.0,0.0,0.0,0.0
1713,955,212612,MT VERNON HWY NE @ CRESTLINE PKY NE,Sign on Post,33.930453,-84.356539,0.0,1.0,0.0,0.0,3,2022.0,0,0,33.93045300000006,-84.35653899999994,0,0.0,0.0,0.0,0.0
1727,970,212904,COMMERCE DR @ CHURCH ST,Sign on Post,33.777858,-84.295199,0.0,1.0,0.0,0.0,3,2025.0,0,0,33.77785800000004,-84.29519899999997,2025-03,0.0,0.0,0.251,0.792
1738,981,212971,EDGEWOOD AVE @ JESSE HILL JR DR,Sign Strapped to Pole,33.754451,-84.380722,0.0,1.0,0.0,0.0,2,2024.0,0,0,33.754451000000074,-84.38072199999993,2025-11,0.0,0.842,0.0,0.492
1740,983,212977,E TRINITY PL @ CHURCH ST,Shelter,33.772769,-84.295058,1.0,1.0,1.0,1.0,1,2024.0,Picture Taken by User,0,33.77276900000004,-84.29505799999998,2024-07,0.0,0.93,0.0,0.918
1811,1054,213386,14TH ST NW @ HOWELL MILL RD NW,Sign on Post,33.78585,-84.411349,0.0,1.0,0.0,0.0,3,2025.0,0,0,33.78585000000004,-84.41134899999997,2025-03,0.0,0.0,0.0,0.884
1812,1055,213387,14TH ST NW @ HOWELL MILL RD NW,Sign Strapped to Pole,33.785709,-84.411057,1.0,1.0,1.0,1.0,3,2025.0,0,0,33.785709000000054,-84.41105699999997,2025-03,0.0,0.917,0.736,0.828
1839,1083,213518,JOSEPH E LOWERY BLVD @ CUNNINGHAM PL,Bench,33.743427,-84.417498,0.0,1.0,1.0,1.0,3,2025.0,0,0,33.743427000000054,-84.41749799999997,2025-04,0.0,0.703,0.0,0.0
1855,1099,213591,IVAN ALLEN JR BLVD @ MARIETTA ST,Sign Strapped to Pole,33.764118,-84.397505,0.0,1.0,0.0,0.0,2,2024.0,0,0,33.76411800000005,-84.39750499999997,2020-03,0.0,0.0,0.0,0.781
1867,1112,213684,LAKEWOOD AVE SE @ MILTON AVE SE,Sign on Post,33.721238,-84.382877,0.0,1.0,0.0,0.0,1,2025.0,Blurred,0,33.72123800000003,-84.38287699999995,0,0.0,0.0,0.0,0.0
1875,1120,213722,GLENWOOD AVE @ 1925,Bench,33.739683,-84.32352,0.0,1.0,1.0,1.0,2,2025.0,0,0,33.73968300000007,-84.32351999999997,0,0.0,0.0,0.0,0.0
1894,1139,600032,FORSYTH ST @ ALABAMA ST (FIVE POINTS STATION),Shelter,33.753944,-84.392626,1.0,1.0,1.0,1.0,1,2025.0,0,0,33.75394400000005,-84.39262599999995,2025-03,0.0,0.866,0.0,0.291
1913,1159,900030,MOURY AVE@204,Sign Strapped to Pole,33.715561,-84.392147,0.0,1.0,0.0,0.0,3,2025.0,0,0,33.71556100000004,-84.39214699999997,2025-03,0.0,0.929,0.871,0.867
1926,1174,900134,EVA DAVIS WAY @ GREENHAVEN DR SE,Bench,33.741208,-84.314484,0.0,1.0,1.0,1.0,3,2025.0,Weird,0,33.74120800000003,-84.31448399999994,2025-01,0.0,0.91,0.0,0.755
