,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,Notes,
1819,904763,DONALD L HOLLOWELL PKWY @ ECHO ST NW,Sign on Post,33.773199,-84.410006,,1,,,1,2025,,
1821,904766,DONALD L HOLLOWELL PKWY @ LINDSAY ST,Shelter,33.77301,-84.416565,1,1,1,1,1,2025,,
1824,904770,VIRGINIA AVE NE@GREENCOVE AVE NE,Sign on Post,33.781929,-84.360307,,1,,,1,2022,occlusions,
1835,904812,MARION PL NE @ LA FRANCE ST NE,Sign on Post,33.760204,-84.345009,,1,,,1,2025,,
1839,904820,N ARCADIA AVE @ E PONCE DE LEON AVE,Sign on Post,33.777575,-84.28062,,1,,,1,2022,,
1843,904827,S MCDONOUGH ST@DOUGHERTY ST,Sign on Post,33.766813,-84.296301,,1,,,1,2022,,
1844,904828,S MCDONOUGH ST@DOUGHERTY ST,Sign on Post,33.765972,-84.296646,,1,,,1,2023,,
1849,904834,S MCDONOUGH ST@ANSLEY ST,Sign on Post,33.767582,-84.296562,,1,,,1,2024,Captured by individual,
1850,904835,S MCDONOUGH ST@DAVIS ST,Sign on Post,33.763473,-84.296527,,1,,,1,2024,Captured by individual,
1852,904837,JOSEPH E LOWERY BLVD NW @ NEAL ST NW,Sign on Post,33.766449,-84.417481,,1,,,1,2015,,
1853,904843,E LAKE DR @ OAKVIEW RD,Sign on Post,33.759277,-84.302994,,1,1,1,1,2022,,
1855,904850,S COLUMBIA DR @ DERRYDOWN WAY,Sign on Post,33.768079,-84.284885,,1,,,1,2022,,
1858,904857,CHURCH ST @ LUCERNE ST,Sign on Post,33.78431,-84.29394,,1,,,1,2022,,
1860,904859,CHURCH ST @ 921,Sign on Post,33.78072,-84.294966,,1,,,1,2019,,
1862,904861,CLAIREMONT AVE @ 441,Sign on Post,33.78018,-84.297069,,1,1,1,1,2024,Captured by individual,
1871,904902,MORELAND AVE NE@BLUE RIDGE AVE NE,Sign on Post,33.772499,-84.349092,,1,,,1,2021,,
1885,904942,CHURCH ST @ BELL ST,Sign on Post,33.781288,-84.294746,,1,,,1,2024,Captured by individual,
1892,904954,W HILL ST @ S MCDONOUGH ST,Sign on Post,33.759836,-84.29729,,1,,,1,2022,,
1896,904958,JOSEPH E BOONE BLVD @ FLOWERS PL,Sign on Post,33.763572,-84.421501,,1,,,1,2022,,
1204,900638,PEACHTREE RD NW@SHERIDAN,Sign Strapped to Pole,33.833595,-84.383653,0,1,0,0,1,2024,,
1205,900639,PEACHTREE RD NW@2820,Sign on Post,33.832359,-84.384879,0,1,1,1,1,2023,,
1208,900664,PEACHTREE RD NW@PHARR RD NW,Shelter,33.83717,-84.381653,0,1,1,1,1,2024,,
1212,900690,PEACHTREE ST @ PINE ST NE,Sign Strapped to Pole,33.767243,-84.385325,0,1,0,1,1,2025,,
1219,900726,PEACHTREE ST @ AUBURN AVE NE,Sign Strapped to Pole,33.755414,-84.388952,0,1,0,0,1,2024,,
